00000A00	Silverd
00422000	Kauria Chain Mail
00430F00	Demenissian Rebel Cloth Armor
00440F00	Astrid's Greater Elixir
00450F00	Recipe: Pan-Fried Marinated Fish
00460F00	Anonymous Letter
00470F00	Pickled Vegetables
00480F00	Clay Container
00490F00	Packaged Red Ginseng
004A0F00	Sealed Abyss Artifact
004B0F00	Donny's Poster
004C0F00	Lightning God's Affliction
004D0F00	Composure I
004E0F00	Hidden Space - 0020
004F0F00	Mistcloaked Owl Leather Cloak
00500F00	Filling Boiled Meat
00760B00	Pink Rosemary
008B0100	Casinian Plate Helm
00B20100	Yosef Plate Armor
00BC0100	Ravirun Leather Armor
00BF0100	Senian Cloth Armor
00E10100	Satyros Plate Gloves
01080200	Woodbrock Leather Boots
01422000	Besnet Cloth Armor
01430F00	Demenissian Rebel Cloth Armor
01440F00	Equestrian II
01450F00	Recipe: Fish Stew
01460F00	Alliance Progress Report
01470F00	Vegetable Porridge
01480F00	Iron Container
01490F00	Packaged Ceremonial Sword
014A0F00	Sealed Abyss Artifact
014B0F00	Randelle's Poster
014C0F00	Shockward I
014D0F00	Composure II
014E0F00	Hidden Space - 0021
014F0F00	Grey Wolf Bow
01500F00	Hearty Steamed Fish
01760B00	White Rosemary
017F0E00	Peddler's Pack
01B20100	Andre Chain Mail
01BC0100	Mondian Leather Armor
01E10100	Ironwilled Guardian's Leather Gloves
01E20400	Hyde Crossbow
02430F00	Demenissian Rebel Cloth Armor
02440F00	Recipe: Battered Meat and Fish
02450F00	Supply Delivery Log
02460F00	Marshell's Letter
02470F00	Battered Vegetables
02480F00	Decorative Iron Water Bottle
02490F00	Packaged Ceremonial Armor
024A0F00	Sealed Abyss Artifact
024B0F00	Forrex's Poster
024C0F00	Shockward II
024D0F00	Composure III
024E0F00	Hidden Space - 0022
024F0F00	Alchemy Formula: Freya's Lesser Elixir
02500F00	Satisfying Steamed Fish
02760B00	Yellow Rosemary
027F0E00	Tanner's Pack
028B0100	Canta Plate Helm
02B20100	Albert Plate Armor
02BB0400	Warspike Spear
02BC0100	Saruen Leather Armor
02E20400	Southern Wandering Troll's Crossbow
03430F00	Demenissian Rebel Cloth Armor
03440F00	Flame Spear
03450F00	Hernand Castle Basement Key
03460F00	Lean Meat
03470F00	Fruit Punch
03480F00	Decorative Brass Water Bottle
03490F00	Packaged Packaged Gun
034A0F00	Sealed Abyss Artifact
034B0F00	Hadiza's Poster
034C0F00	Shockward III
034D0F00	Small Livestock Capacity Increase
